viewCount,likeCount,dislikeCount,favoriteCount,commentCount
559061,4325,401,0,415
283842,3558,110,0,336
659152,5825,411,0,653
447119,10708,967,0,943
660109,27183,352,0,1740
383661,36013,159,0,2276
2734798,39371,1377,0,2193
158661,4987,343,0,234
161568,3140,120,0,347
412595,3126,206,0,352
123963,5644,37,0,312
359485,2507,172,0,532
369970,10142,218,0,379
229964,7626,97,0,560
107056,6568,50,0,252
473381,15738,249,0,1244
296643,9372,73,0,605
2494417,35916,1608,0,2132
106378,4556,34,0,117
1222331,22918,426,0,771
116677,3214,72,0,208
1047555,562216,7040,0,19032
15369648,3627,152,0,224
78456,36675,430,0,2366
670956,730,44,0,43
71647,13369,144,0,1864
372890,171446,1945,0,5053
3877755,1844,64,0,212
148649,144467,2588,0,6126
111341,5460,327,0,221
7015831,68086,1447,0,9177
242609,2157,78,0,280
3085380,4392,157,0,348
124197,16459,264,0,1192
220143,1984,282,0,2235
528827,7245,113,0,368
231288,5016,585,0,428
253853,12819,131,0,471
942366,47165,528,0,2480
419474,1332,31,0,44
1086106,1606,29,0,35
72010,7526,62,0,356
64569,8218,126,0,696
159730,10673,167,0,880
164248,2472,159,0,564
748210,2223,165,0,268
332636,52370,693,0,3417
306902,2128,145,0,160
1237714.0,,,0.0,
279845.0,,,0.0,
